Company,Industry,City,Careers Site URL,Company_Size,Primary_Source,Indeed_URL,AngelList_URL,Glassdoor_URL,Backup_Strategy,Careers URL,Indeed Search
Anduril,Public Safety,,https://www.anduril.com/open-roles/?location=Boulder%2C+Colorado%2C+United+States_Broomfield%2C+Colorado%2C+United+States_Remote_USA&department=&search=&gh_src=,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Anduril""&l=nan,CO",,https://www.glassdoor.com/Jobs/Anduril-Jobs-E12345.htm,"careers_page,indeed",,
Angi,Other,Denver,https://www.angi.com/careers/jobs,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Angi""&l=Denver,CO",,https://www.glassdoor.com/Jobs/Angi-Jobs-E12345.htm,"careers_page,indeed",,
Appian,Healthcare Technology,,https://careers.appian.com/jobs?jobs-location=jobs-location%3Adenver--colorado&jobs-location=jobs-location%3Aunited-states,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Appian""&l=nan,CO",,https://www.glassdoor.com/Jobs/Appian-Jobs-E12345.htm,"careers_page,indeed",,
Apptio (part of IBM),Software & Services,Boulder,https://www.ibm.com/careers/search?field_keyword_05[0]=United%20States&q=APPTIO,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Apptio (part of IBM)""&l=Boulder,CO",,https://www.glassdoor.com/Jobs/Apptio-(part-of-IBM)-Jobs-E12345.htm,"careers_page,indeed",,
Aquaoso,Analytics & AI,Denver,https://aquaoso.com/careers/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Aquaoso""&l=Denver,CO",https://angel.co/company/aquaoso/jobs,https://www.glassdoor.com/Jobs/Aquaoso-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
ARC,Software & Services,Denver,https://jobs.jobvite.com/arc/jobs/viewall,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""ARC""&l=Denver,CO",,https://www.glassdoor.com/Jobs/ARC-Jobs-E12345.htm,"careers_page,indeed",,
Argis Solutions,Software & Services,Aurora,https://www.argis.com/careers,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Argis Solutions""&l=Aurora,CO",https://angel.co/company/argis-solutions/jobs,https://www.glassdoor.com/Jobs/Argis-Solutions-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Ascent360,Other,Golden,https://ascent360.com/about/careers/#open-positions,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Ascent360""&l=Golden,CO",,https://www.glassdoor.com/Jobs/Ascent360-Jobs-E12345.htm,"careers_page,indeed",,
AssetSense,Other,Broomfield,,Medium,job_boards,"https://www.indeed.com/jobs?q=company:""AssetSense""&l=Broomfield,CO",,https://www.glassdoor.com/Jobs/AssetSense-Jobs-E12345.htm,"careers_page,indeed",,
Automation Anywhere,Other,,https://www.automationanywhere.com/company/careers/all,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Automation Anywhere""&l=nan,CO",,https://www.glassdoor.com/Jobs/Automation-Anywhere-Jobs-E12345.htm,"careers_page,indeed",,
